ranking,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70,iteration_71,iteration_72,iteration_73,iteration_74,iteration_75,iteration_76,iteration_77,iteration_78,iteration_79,iteration_80,iteration_81,iteration_82,iteration_83,iteration_84,iteration_85,iteration_86,iteration_87,iteration_88,iteration_89,iteration_90,iteration_91,iteration_92,iteration_93,iteration_94,iteration_95,iteration_96,iteration_97,iteration_98,iteration_99,iteration_100
"Victoria Watlington,LaWana Slack-Mayfield,Dimple Ajmera,Steven J. DiFiore II,James (Smuggie) Mitchell",3.0,4.0,6.0,3.0,2.0,5.0,2.0,2.0,4.0,2.0,3.0,6.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,5.0,7.0,3.0,3.0,3.0,5.0,6.0,2.0,1.0,4.0,2.0,3.0,5.0,0.0,1.0,6.0,4.0,2.0,6.0,3.0,5.0,3.0,9.0,4.0,4.0,2.0,8.0,3.0,7.0,1.0,4.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,3.0,5.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,5.0,2.0,2.0,4.0,4.0,7.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,6.0,5.0,4.0,3.0,7.0,2.0
"Victoria Watlington,LaWana Slack-Mayfield,James (Smuggie) Mitchell,Dimple Ajmera,Steven J. DiFiore II",34.0,38.0,39.0,41.0,23.0,31.0,35.0,33.0,30.0,37.0,40.0,42.0,41.0,33.0,34.0,38.0,35.0,44.0,37.0,32.0,45.0,30.0,37.0,40.0,32.0,41.0,42.0,35.0,36.0,30.0,33.0,37.0,32.0,43.0,35.0,35.0,41.0,48.0,33.0,44.0,32.0,37.0,34.0,33.0,38.0,28.0,34.0,40.0,38.0,35.0,53.0,36.0,35.0,41.0,31.0,38.0,37.0,34.0,35.0,32.0,47.0,36.0,44.0,34.0,42.0,29.0,38.0,40.0,34.0,25.0,31.0,30.0,43.0,33.0,40.0,33.0,47.0,26.0,35.0,36.0,46.0,41.0,26.0,26.0,44.0,32.0,40.0,36.0,32.0,43.0,32.0,32.0,36.0,36.0,40.0,39.0,39.0,31.0,40.0,31.0
"Victoria Watlington,LaWana Slack-Mayfield,James (Smuggie) Mitchell,Steven J. DiFiore II,Dimple Ajmera",1.0,2.0,1.0,3.0,4.0,3.0,4.0,2.0,2.0,6.0,0.0,5.0,5.0,3.0,2.0,6.0,3.0,7.0,1.0,6.0,7.0,3.0,4.0,3.0,4.0,3.0,1.0,6.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,8.0,6.0,5.0,4.0,3.0,5.0,4.0,2.0,5.0,3.0,3.0,1.0,2.0,5.0,4.0,5.0,2.0,3.0,3.0,2.0,5.0,3.0,1.0,2.0,4.0,5.0,2.0,4.0,1.0,4.0,4.0,3.0,2.0,0.0,3.0,4.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,2.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
"Victoria Watlington,Steven J. DiFiore II,Dimple Ajmera,LaWana Slack-Mayfield,James (Smuggie) Mitchell",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LaWana Slack-Mayfield,James (Smuggie) Mitchell,Dimple Ajmera,Victoria Watlington,Steven J. DiFiore II",31.0,34.0,42.0,23.0,33.0,33.0,41.0,40.0,30.0,43.0,37.0,42.0,39.0,41.0,35.0,45.0,33.0,33.0,35.0,41.0,31.0,36.0,40.0,31.0,41.0,35.0,41.0,39.0,32.0,37.0,36.0,28.0,34.0,36.0,35.0,32.0,45.0,42.0,41.0,33.0,31.0,36.0,35.0,31.0,32.0,29.0,42.0,33.0,39.0,49.0,25.0,30.0,37.0,32.0,23.0,36.0,41.0,38.0,37.0,30.0,44.0,36.0,32.0,36.0,38.0,36.0,33.0,34.0,36.0,31.0,43.0,44.0,26.0,35.0,35.0,39.0,34.0,32.0,39.0,40.0,33.0,32.0,34.0,44.0,31.0,38.0,41.0,27.0,43.0,34.0,39.0,32.0,40.0,36.0,30.0,34.0,37.0,43.0,37.0,39.0
"LaWana Slack-Mayfield,James (Smuggie) Mitchell,Dimple Ajmera,Steven J. DiFiore II,Victoria Watlington",1.0,1.0,4.0,2.0,3.0,3.0,4.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,4.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,6.0,3.0,2.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,6.0,3.0,4.0,2.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,5.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,6.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,5.0,1.0,2.0,3.0,8.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0,3.0,4.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,5.0,2.0,2.0
"LaWana Slack-Mayfield,James (Smuggie) Mitchell,Victoria Watlington,Dimple Ajmera,Steven J. DiFiore II",25.0,38.0,26.0,46.0,43.0,45.0,41.0,23.0,42.0,30.0,42.0,28.0,35.0,38.0,49.0,36.0,35.0,36.0,43.0,39.0,40.0,53.0,41.0,35.0,34.0,39.0,32.0,36.0,41.0,33.0,37.0,42.0,25.0,32.0,44.0,32.0,40.0,37.0,45.0,49.0,47.0,39.0,37.0,38.0,40.0,35.0,39.0,32.0,38.0,30.0,42.0,35.0,30.0,36.0,33.0,38.0,34.0,38.0,24.0,43.0,55.0,30.0,29.0,43.0,31.0,34.0,37.0,39.0,32.0,30.0,35.0,38.0,35.0,33.0,27.0,45.0,29.0,40.0,28.0,34.0,22.0,35.0,36.0,35.0,37.0,39.0,33.0,44.0,23.0,31.0,29.0,46.0,36.0,40.0,43.0,33.0,24.0,45.0,36.0,37.0
"LaWana Slack-Mayfield,James (Smuggie) Mitchell,Victoria Watlington,Steven J. DiFiore II,Dimple Ajmera",4.0,1.0,8.0,5.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,8.0,1.0,3.0,2.0,6.0,0.0,6.0,0.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,5.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,2.0,5.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,0.0,2.0
"LaWana Slack-Mayfield,James (Smuggie) Mitchell,Steven J. DiFiore II,Dimple Ajmera,Victoria Watlington",1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
"LaWana Slack-Mayfield,Victoria Watlington,Dimple Ajmera,James (Smuggie) Mitchell,Steven J. DiFiore II",44.0,32.0,41.0,31.0,41.0,27.0,31.0,37.0,27.0,43.0,37.0,39.0,42.0,28.0,41.0,38.0,32.0,39.0,38.0,30.0,46.0,42.0,40.0,31.0,41.0,49.0,35.0,36.0,42.0,31.0,32.0,26.0,36.0,34.0,35.0,32.0,33.0,35.0,36.0,37.0,37.0,38.0,32.0,42.0,44.0,35.0,35.0,48.0,34.0,32.0,40.0,31.0,34.0,39.0,45.0,34.0,36.0,34.0,48.0,33.0,30.0,32.0,36.0,38.0,33.0,46.0,31.0,25.0,39.0,51.0,40.0,39.0,56.0,36.0,41.0,34.0,30.0,44.0,39.0,38.0,31.0,35.0,30.0,38.0,33.0,35.0,44.0,23.0,24.0,32.0,31.0,41.0,43.0,35.0,27.0,27.0,36.0,41.0,36.0,48.0
"LaWana Slack-Mayfield,Victoria Watlington,Dimple Ajmera,Steven J. DiFiore II,James (Smuggie) Mitchell",3.0,2.0,6.0,3.0,5.0,3.0,3.0,2.0,4.0,6.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,0.0,5.0,6.0,1.0,5.0,1.0,1.0,5.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0,3.0,5.0,4.0,3.0,6.0,3.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,6.0,4.0,5.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,9.0,4.0,1.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,9.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,0.0,3.0,6.0,3.0,2.0,4.0,4.0,1.0,4.0
"LaWana Slack-Mayfield,Victoria Watlington,James (Smuggie) Mitchell,Dimple Ajmera,Steven J. DiFiore II",31.0,41.0,27.0,31.0,41.0,39.0,36.0,23.0,36.0,38.0,46.0,32.0,34.0,34.0,34.0,39.0,32.0,25.0,36.0,34.0,30.0,42.0,33.0,37.0,42.0,27.0,37.0,41.0,31.0,42.0,38.0,38.0,38.0,32.0,33.0,37.0,43.0,26.0,36.0,42.0,33.0,27.0,38.0,35.0,30.0,36.0,43.0,44.0,30.0,30.0,39.0,30.0,28.0,52.0,44.0,39.0,30.0,33.0,32.0,43.0,42.0,27.0,47.0,26.0,27.0,32.0,37.0,37.0,31.0,36.0,42.0,47.0,36.0,30.0,34.0,28.0,36.0,34.0,22.0,37.0,33.0,39.0,38.0,41.0,31.0,36.0,27.0,39.0,25.0,39.0,46.0,34.0,28.0,33.0,35.0,31.0,32.0,31.0,36.0,33.0
"LaWana Slack-Mayfield,Victoria Watlington,James (Smuggie) Mitchell,Steven J. DiFiore II,Dimple Ajmera",5.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,0.0,2.0,1.0,0.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,1.0,0.0,5.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,0.0,1.0,6.0,1.0,1.0,5.0,4.0,3.0,5.0,5.0,6.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0,1.0,4.0,2.0,9.0,1.0,4.0,2.0,1.0,7.0,3.0,2.0,6.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0,0.0,3.0,6.0,1.0,5.0,3.0,3.0
"LaWana Slack-Mayfield,Victoria Watlington,Steven J. DiFiore II,Dimple Ajmera,James (Smuggie) Mitchell",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
"LaWana Slack-Mayfield,Dimple Ajmera,Victoria Watlington,James (Smuggie) Mitchell,Steven J. DiFiore II",45.0,34.0,30.0,47.0,37.0,37.0,32.0,30.0,26.0,31.0,41.0,39.0,35.0,37.0,42.0,31.0,46.0,39.0,36.0,31.0,33.0,30.0,41.0,45.0,33.0,32.0,37.0,42.0,35.0,35.0,35.0,32.0,39.0,44.0,34.0,37.0,25.0,42.0,28.0,30.0,40.0,39.0,32.0,33.0,39.0,40.0,27.0,47.0,33.0,35.0,33.0,61.0,36.0,31.0,37.0,40.0,24.0,47.0,38.0,29.0,27.0,31.0,37.0,41.0,49.0,47.0,33.0,38.0,51.0,39.0,35.0,32.0,46.0,46.0,35.0,42.0,41.0,41.0,50.0,37.0,32.0,34.0,32.0,35.0,35.0,36.0,29.0,44.0,37.0,37.0,34.0,35.0,39.0,47.0,41.0,35.0,39.0,29.0,46.0,30.0
