Candidate,Plurality Result,STV Result,Difference
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
Charles Swiers,False,False,False
Eddie Burks,True,True,False
Harry Okeke,False,False,False
Jane Hughes Redding,True,True,False
Joey Trogdon,True,True,False
,,,
